,nombre_actividad,lugar,categoria,puntuacion,imagen,precio
0,Sushi divertido: ¡Conviértete en chef en solo 2 horas!,Muérdete,Cursos de sushi,8.6,https://www.atrapalo.com/common/photo/event/4/8/8/1522/1541584/vertic_372_270.jpg,"29,90€"
1,"Masaje para dos en cabina VIP, cócteles y jacuzzi privado, ¡planazo!",Ananda Spa,Masajes en pareja,9.4,https://www.atrapalo.com/common/photo/event/4/8/0/9453/1033417/vertic_372_270.jpg,54€
2,Spa de lujo: circuito y terapias en Serena Spa,Serena Spa en el Hotel Melià Barcelona Sky,Circuitos de agua,8.7,https://www.atrapalo.com/common/photo/event/4/8/7/9258/1450070/vertic_372_270.jpg,"18,95€"
3,Experiencia en pareja: una hora de masaje con regalo de bienvenida,Estética y terapias naturales Imma,Masajes en pareja,9.7,https://www.atrapalo.com/common/photo/event/4/8/2/6100/1515203/vertic_372_270.jpg,"43,90€"
4,"Alquimia: Cocteles, biquinis y esoterismo en una experiencia mística",Alquimia Barcelona,Degustaciones y experiencias gastronómicas,9.0,Sin imagen,13€
5,"Taller Candles & Wine, toda una experiencia para tus sentidos",Candle Moments & Co,Cursos de Manualidades y DIY,9.9,https://www.atrapalo.com/common/photo/event/4/8/9/3786/1463942/vertic_372_270.jpg,45€
6,Taller de cerámica con vino: escoge entre modelado o escultura,Nuesi Ceràmics,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/1765/1585115/vertic_372_270.jpg,"29,90€"
7,Cata de vinos ecológicos de pequeños elaboradores y surtido de quesos,Viniteca Vinya Celler Masia,Catas y maridajes de vinos,9.9,https://www.atrapalo.com/common/photo/event/4/8/9/4873/1472943/vertic_372_270.jpg,22€
8,"Masaje + baño de rosas en pareja , el Jardín del Edén",Bali Spirit,Masajes en pareja,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/1141/1581452/vertic_372_270.jpg,89€
9,Menú in Love en el Jardinet de Gràcia: cena romántica en Barcelona,Jardinet de Gràcia                                                         (Barcelona),Degustaciones y experiencias gastronómicas,9.2,Sin imagen,35€
10,Taller coctelería tiki: disfruta del paraíso tropical de los cócteles,Cocktail Shop Barcelona,Cursos de cata y coctelería,9.2,https://www.atrapalo.com/common/photo/event/4/7/8/7646/1547123/vertic_372_270.jpg,26€
11,Curso de Vela Ligera,Centre Municipal de Vela de Barcelona,"Pesca, náutica y navegación",Sin puntuación,Sin imagen,165€
12,Relájate y disfruta: Spa con copa de cava y masaje opcional en Grums,Serena Spa en Hotel Grums 4*,Spas con masaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/2/6193/999776/vertic_372_270.jpg,"15,95€"
13,"Ruta de fantasmas, misterios y leyendas del barrio Gótico",Palau de la Virreina                                                         (Barcelona),Rutas nocturnas y misteriosas,9.5,Sin imagen,15€
14,Acceso rápido a la Sagrada Familia con subida a la torre,Oficinas de Julià Travel (Calle Sardenya 311)                                                         (Barcelona),Entrada a lugares de interés turístico,Sin puntuación,https://www.atrapalo.com/common/photo/event/7/7/5/62/265020/vertic_372_270.jpg,74€
15,Relax total: Spa con copa de cava y masaje opcional en Melià Sarrià,Serena Spa at Hotel Meliá Sarrià 5*,Spas con masaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/8/7/9530/1359202/vertic_372_270.jpg,"16,95€"
16,Barro y vino: taller de cerámica con pica pica en el barrio de Gracia,Colet Arte                                                         (Barcelona),Cursos de Manualidades y DIY,10,Sin imagen,"36,90€"
17,"Acuarela y vino: arte, diversión y pica pica en Barcelona",Colet Arte                                                         (Barcelona),Cursos de Manualidades y DIY,9.1,https://www.atrapalo.com/common/photo/event/4/9/0/0685/1514235/vertic_372_270.jpg,"19,90€"
18,Menú Exclusivo y Mojito en Terraza 360º del Barceló Raval,Barceló Raval,Degustaciones y experiencias gastronómicas,8.8,Sin imagen,34€
19,"Aprende a navegar en velero por Barcelona, ¡marino por un día!",Business Yachtclub Barcelona,"Pesca, náutica y navegación",8.8,https://www.atrapalo.com/common/photo/event/2/5/9/28/1104702/vertic_372_270.jpg,45€
20,Dinner Show en Iluzione Diagonal,Iluzione Diagonal,Degustaciones y experiencias gastronómicas,Sin puntuación,Sin imagen,45€
21,Masaje a elegir y circuito termal: ¡relájate!,Despacio Spa Centre (Hotel H10 Marina Barcelona),Spas con masaje,8.9,https://www.atrapalo.com/common/photo/event/4/7/8/5872/328551/vertic_372_270.jpg,49€
22,Clases de cerámica en Barcelona: crea tu propia pieza única en Cántaro,Cántaro,Cursos de Manualidades y DIY,10,https://www.atrapalo.com/common/photo/event/4/8/8/8451/1423366/vertic_372_270.jpg,28€
23,Relajación en pareja: regala un momento inolvidable en Nancy Center,Nancy Center Spa Thailandés,Masajes en pareja,8.7,https://www.atrapalo.com/common/photo/event/4/8/1/5308/1076826/vertic_372_270.jpg,35€
24,Taller oficial de elaboración de vermut con maridaje y aperitivo,A concretar (Barcelona)                                                         (Barcelona),"Vermuts, aperitivos y destilados",9.4,https://www.atrapalo.com/common/photo/event/4/8/7/4100/1326275/vertic_372_270.jpg,29€
25,Visita la Antigua Fábrica Damm y disfruta una cata especial,Antiga Fàbrica Estrella Damm                                                         (Barcelona),Catas y elaboración de cerveza,8.7,https://www.atrapalo.com/common/photo/event/4/8/4/6326/1558876/vertic_372_270.jpg,18€
26,Taller de automaquillaje: destaca tu belleza gracias a Sole Cester,Sole Cester,Cursos de belleza y estilismo,8.8,https://www.atrapalo.com/common/photo/event/1/1/3/821/402031/vertic_372_270.jpg,25€
27,Domingos de spa en familia: relajación y diversión para todos,Serena Spa at Hotel Meliá Sarrià 5*,Circuitos de agua,8.8,https://www.atrapalo.com/common/photo/event/4/8/8/7048/1412630/vertic_372_270.jpg,"39,95€"
28,Cerámica y vino,Feliz Studio,Cursos de Manualidades y DIY,Sin puntuación,Sin imagen,36€
29,Descubre los misterios y leyendas del Barrio Gótico de noche,Calle Fontanella 10 esquina con calle Estruc                                                         (Barcelona),Rutas nocturnas y misteriosas,9.6,https://www.atrapalo.com/common/photo/event/4/8/8/9012/1425727/vertic_372_270.jpg,"12,60€"
30,"Experiencia matinal: Desayuno, circuito SPA y opción a masaje",Serena Spa en Hotel Grums 4*,Spas con masaje,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/3591/1596052/vertic_372_270.jpg,"34,95€"
31,Brunch con DJ y bebidas sin límite en Negresco Princess,Hotel Negresco Princess 4*,Degustaciones y experiencias gastronómicas,9.5,Sin imagen,38€
32,Taller de gin-tonic: Descubre el arte de preparar las copas perfectas,Cocktail Shop Barcelona,Cursos de cata y coctelería,9.0,Sin imagen,26€
33,Cata de cervezas artesanales con maridaje de quesos: ¡Reserva ahora!,La Cervesera del Poblenou,Catas y elaboración de cerveza,9.4,Sin imagen,16€
34,"Cata y guía de cervezas by Matt, el brewer de Minnesota en BlackLab",BlackLab,Catas y elaboración de cerveza,9.6,Sin imagen,27€
35,CHOCOMASTER BCN: Taller y cata gourmet de chocolates profesionales.,Taller de Chocolate BCN,Cursos de cocina,9.8,https://www.atrapalo.com/common/photo/event/4/8/3/4700/1048077/vertic_372_270.jpg,"39,50€"
36,Cata de vinos y espumosos a ciegas con antifaz y quesos artesanos,Espai Penedès,Catas y maridajes de vinos,9.5,https://www.atrapalo.com/common/photo/event/4/8/1/7157/1049991/vertic_372_270.jpg,24€
37,Masaje corporal aceites esenciales: desconecta y regenera tu energía,Despacio Spa Centre H10 Casanova,Masajes relajantes,9.7,https://www.atrapalo.com/common/photo/event/5/4/1/84/1046946/vertic_372_270.jpg,"39,50€"
38,BCN nocturna & criminal,Cultruta,Rutas nocturnas y misteriosas,9.0,https://www.atrapalo.com/common/photo/event/4/8/4/7050/1120505/vertic_372_270.jpg,15€
39,Delicioso menú del día en nuestro Restaurante Babou by Vincci Gala,Hotel Vincci Gala,Degustaciones y experiencias gastronómicas,8.7,https://www.atrapalo.com/common/photo/event/4/8/8/3646/1561160/vertic_372_270.jpg,23€
40,Brunch encantado en Jardinet d'Aribau: delicias para compartir,Jardinet d'Aribau,Degustaciones y experiencias gastronómicas,9.7,Sin imagen,25€
41,Barcelona en clave de misterio: ¡descúbrela!,"Banco de España, Barcelona",Rutas nocturnas y misteriosas,9.7,Sin imagen,12€
42,Taller de torno alfarero: despierta tu creatividad en Cerámica Forma,Cerámica Forma,Cursos de Manualidades y DIY,8.8,Sin imagen,35€
43,Choco artesano: Taller de chocolates del mundo y cata,Çukor (Palau),Catas de chocolate,9.1,Sin imagen,32€
44,Crea tu pieza personalizada y decórala con cristal fundido,Consell 81,Cursos de Manualidades y DIY,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/0/5101/1571434/vertic_372_270.jpg,30€
45,Piel radiante y purificada con tratamiento facial eco-vegano,Estética y terapias naturales Imma,Tratamiento y limpieza facial,9.5,https://www.atrapalo.com/common/photo/event/4/8/1/6686/1056866/vertic_372_270.jpg,35€
46,Cata básica de café de especialidad en Nomad Coffee,Cal Nomad,Degustaciones y experiencias gastronómicas,Sin puntuación,https://www.atrapalo.com/common/photo/event/4/9/1/1172/1581660/vertic_372_270.jpg,25€
47,Mima tu piel: exfoliación corporal con masaje en Despacio Spa,Despacio Spa Centre H10 Casanova,Peelings corporales,9.7,https://www.atrapalo.com/common/photo/event/5/4/1/81/1438607/vertic_372_270.jpg,"40,90€"
48,Criolipólisis: despídete de la grasa sin cirugía,Benestar (varios centros en Barcelona)                                                         (Barcelona),Criolipólisis,10,https://www.atrapalo.com/common/photo/event/4/8/5/5631/1182382/vertic_372_270.jpg,65€
49,Relax a tu medida: elige tu masaje y disfruta al máximo,Institut de Salut Holística (varios centros a elegir),Masajes relajantes,9.1,https://www.atrapalo.com/common/photo/event/4/8/0/7443/1571990/vertic_372_270.jpg,"29,90€"
