,compañía,fecha de ida,hora de salida,fecha de llegada,hora de llegada,número de paradas,número de vuelo,clase,precio
0,Iberia,2024-10-25,07:15,2024-10-25,08:30,0,IB3004,Economy,469.2 €
1,Iberia,2024-10-27,13:30,2024-10-27,14:55,0,IB412,Economy,469.2 €
2,Iberia,2024-10-25,07:45,2024-10-25,09:00,0,IB3006,Economy,545.56 €
3,Iberia,2024-10-27,13:30,2024-10-27,14:55,0,IB412,Economy,545.56 €
4,Iberia,2024-10-25,08:15,2024-10-25,09:30,0,IB3008,Economy,563.04 €
5,Iberia,2024-10-27,13:30,2024-10-27,14:55,0,IB412,Economy,563.04 €
6,Iberia,2024-10-25,07:15,2024-10-25,08:30,0,IB3004,Economy,566.72 €
7,Iberia,2024-10-27,10:30,2024-10-27,11:55,0,IB408,Economy,566.72 €
8,Iberia,2024-10-25,10:30,2024-10-25,11:45,0,IB3010,Economy,571.32 €
9,Iberia,2024-10-27,13:30,2024-10-27,14:55,0,IB412,Economy,571.32 €
10,Iberia,2024-10-25,07:45,2024-10-25,09:00,0,IB3006,Economy,630.2 €
11,Iberia,2024-10-27,10:30,2024-10-27,11:55,0,IB408,Economy,630.2 €
12,Iberia,2024-10-25,08:15,2024-10-25,09:30,0,IB3008,Economy,641.24 €
13,Iberia,2024-10-27,10:30,2024-10-27,11:55,0,IB408,Economy,641.24 €
14,Iberia,2024-10-25,06:45,2024-10-25,08:00,0,IB3002,Economy,645.84 €
15,Iberia,2024-10-27,13:30,2024-10-27,14:55,0,IB412,Economy,645.84 €
16,Iberia,2024-10-25,11:30,2024-10-25,12:45,0,IB3012,Economy,645.84 €
17,Iberia,2024-10-27,13:30,2024-10-27,14:55,0,IB412,Economy,645.84 €
18,Vueling,2024-10-25,22:35,2024-10-25,23:55,0,VY1009,Economy,1041.44 €
19,Vueling,2024-10-27,16:25,2024-10-27,17:45,0,VY1006,Economy,1041.44 €
